Site,Species,ReadingDateTime,Value,Units,Provisional or Ratified
BG1,SOLR,01/01/1993 00:00,,W/m2,P
BG1,SOLR,02/01/1993 00:00,,W/m2,P
BG1,SOLR,03/01/1993 00:00,,W/m2,P
BG1,SOLR,04/01/1993 00:00,,W/m2,P
BG1,SOLR,05/01/1993 00:00,,W/m2,P
BG1,SOLR,06/01/1993 00:00,,W/m2,P
BG1,SOLR,07/01/1993 00:00,,W/m2,P
BG1,SOLR,08/01/1993 00:00,,W/m2,P
BG1,SOLR,09/01/1993 00:00,,W/m2,P
BG1,SOLR,10/01/1993 00:00,,W/m2,P
BG1,SOLR,11/01/1993 00:00,,W/m2,P
BG1,SOLR,12/01/1993 00:00,,W/m2,P
BG1,SOLR,13/01/1993 00:00,,W/m2,P
BG1,SOLR,14/01/1993 00:00,,W/m2,P
BG1,SOLR,15/01/1993 00:00,,W/m2,P
BG1,SOLR,16/01/1993 00:00,,W/m2,P
BG1,SOLR,17/01/1993 00:00,,W/m2,P
BG1,SOLR,18/01/1993 00:00,,W/m2,P
BG1,SOLR,19/01/1993 00:00,,W/m2,P
BG1,SOLR,20/01/1993 00:00,,W/m2,P
BG1,SOLR,21/01/1993 00:00,,W/m2,P
BG1,SOLR,22/01/1993 00:00,,W/m2,P
BG1,SOLR,23/01/1993 00:00,,W/m2,P
BG1,SOLR,24/01/1993 00:00,,W/m2,P
BG1,SOLR,25/01/1993 00:00,,W/m2,P
BG1,SOLR,26/01/1993 00:00,,W/m2,P
BG1,SOLR,27/01/1993 00:00,,W/m2,P
BG1,SOLR,28/01/1993 00:00,,W/m2,P
BG1,SOLR,29/01/1993 00:00,,W/m2,P
BG1,SOLR,30/01/1993 00:00,,W/m2,P
BG1,SOLR,31/01/1993 00:00,,W/m2,P
BG1,SOLR,01/02/1993 00:00,,W/m2,P
BG1,SOLR,02/02/1993 00:00,,W/m2,P
BG1,SOLR,03/02/1993 00:00,,W/m2,P
BG1,SOLR,04/02/1993 00:00,,W/m2,P
BG1,SOLR,05/02/1993 00:00,,W/m2,P
BG1,SOLR,06/02/1993 00:00,,W/m2,P
BG1,SOLR,07/02/1993 00:00,,W/m2,P
BG1,SOLR,08/02/1993 00:00,,W/m2,P
BG1,SOLR,09/02/1993 00:00,,W/m2,P
BG1,SOLR,10/02/1993 00:00,,W/m2,P
BG1,SOLR,11/02/1993 00:00,,W/m2,P
BG1,SOLR,12/02/1993 00:00,,W/m2,P
BG1,SOLR,13/02/1993 00:00,,W/m2,P
BG1,SOLR,14/02/1993 00:00,,W/m2,P
BG1,SOLR,15/02/1993 00:00,,W/m2,P
BG1,SOLR,16/02/1993 00:00,,W/m2,P
BG1,SOLR,17/02/1993 00:00,,W/m2,P
BG1,SOLR,18/02/1993 00:00,,W/m2,P
BG1,SOLR,19/02/1993 00:00,,W/m2,P
BG1,SOLR,20/02/1993 00:00,,W/m2,P
BG1,SOLR,21/02/1993 00:00,,W/m2,P
BG1,SOLR,22/02/1993 00:00,,W/m2,P
BG1,SOLR,23/02/1993 00:00,,W/m2,P
BG1,SOLR,24/02/1993 00:00,,W/m2,P
BG1,SOLR,25/02/1993 00:00,,W/m2,P
BG1,SOLR,26/02/1993 00:00,,W/m2,P
BG1,SOLR,27/02/1993 00:00,,W/m2,P
BG1,SOLR,28/02/1993 00:00,,W/m2,P
BG1,SOLR,01/03/1993 00:00,,W/m2,P
BG1,SOLR,02/03/1993 00:00,,W/m2,P
BG1,SOLR,03/03/1993 00:00,,W/m2,P
BG1,SOLR,04/03/1993 00:00,,W/m2,P
BG1,SOLR,05/03/1993 00:00,,W/m2,P
BG1,SOLR,06/03/1993 00:00,,W/m2,P
BG1,SOLR,07/03/1993 00:00,,W/m2,P
BG1,SOLR,08/03/1993 00:00,,W/m2,P
BG1,SOLR,09/03/1993 00:00,,W/m2,P
BG1,SOLR,10/03/1993 00:00,,W/m2,P
BG1,SOLR,11/03/1993 00:00,,W/m2,P
BG1,SOLR,12/03/1993 00:00,,W/m2,P
BG1,SOLR,13/03/1993 00:00,,W/m2,P
BG1,SOLR,14/03/1993 00:00,,W/m2,P
BG1,SOLR,15/03/1993 00:00,,W/m2,P
BG1,SOLR,16/03/1993 00:00,,W/m2,P
BG1,SOLR,17/03/1993 00:00,,W/m2,P
