Site,Species,ReadingDateTime,Value,Units,Provisional or Ratified
MY1,CO,01/01/1993 00:00,,mg m-3,R
MY1,CO,02/01/1993 00:00,,mg m-3,R
MY1,CO,03/01/1993 00:00,,mg m-3,R
MY1,CO,04/01/1993 00:00,,mg m-3,R
MY1,CO,05/01/1993 00:00,,mg m-3,R
MY1,CO,06/01/1993 00:00,,mg m-3,R
MY1,CO,07/01/1993 00:00,,mg m-3,R
MY1,CO,08/01/1993 00:00,,mg m-3,R
MY1,CO,09/01/1993 00:00,,mg m-3,R
MY1,CO,10/01/1993 00:00,,mg m-3,R
MY1,CO,11/01/1993 00:00,,mg m-3,R
MY1,CO,12/01/1993 00:00,,mg m-3,R
MY1,CO,13/01/1993 00:00,,mg m-3,R
MY1,CO,14/01/1993 00:00,,mg m-3,R
MY1,CO,15/01/1993 00:00,,mg m-3,R
MY1,CO,16/01/1993 00:00,,mg m-3,R
MY1,CO,17/01/1993 00:00,,mg m-3,R
MY1,CO,18/01/1993 00:00,,mg m-3,R
MY1,CO,19/01/1993 00:00,,mg m-3,R
MY1,CO,20/01/1993 00:00,,mg m-3,R
MY1,CO,21/01/1993 00:00,,mg m-3,R
MY1,CO,22/01/1993 00:00,,mg m-3,R
MY1,CO,23/01/1993 00:00,,mg m-3,R
MY1,CO,24/01/1993 00:00,,mg m-3,R
MY1,CO,25/01/1993 00:00,,mg m-3,R
MY1,CO,26/01/1993 00:00,,mg m-3,R
MY1,CO,27/01/1993 00:00,,mg m-3,R
MY1,CO,28/01/1993 00:00,,mg m-3,R
MY1,CO,29/01/1993 00:00,,mg m-3,R
MY1,CO,30/01/1993 00:00,,mg m-3,R
MY1,CO,31/01/1993 00:00,,mg m-3,R
MY1,CO,01/02/1993 00:00,,mg m-3,R
MY1,CO,02/02/1993 00:00,,mg m-3,R
MY1,CO,03/02/1993 00:00,,mg m-3,R
MY1,CO,04/02/1993 00:00,,mg m-3,R
MY1,CO,05/02/1993 00:00,,mg m-3,R
MY1,CO,06/02/1993 00:00,,mg m-3,R
MY1,CO,07/02/1993 00:00,,mg m-3,R
MY1,CO,08/02/1993 00:00,,mg m-3,R
MY1,CO,09/02/1993 00:00,,mg m-3,R
MY1,CO,10/02/1993 00:00,,mg m-3,R
MY1,CO,11/02/1993 00:00,,mg m-3,R
MY1,CO,12/02/1993 00:00,,mg m-3,R
MY1,CO,13/02/1993 00:00,,mg m-3,R
MY1,CO,14/02/1993 00:00,,mg m-3,R
MY1,CO,15/02/1993 00:00,,mg m-3,R
MY1,CO,16/02/1993 00:00,,mg m-3,R
MY1,CO,17/02/1993 00:00,,mg m-3,R
MY1,CO,18/02/1993 00:00,,mg m-3,R
MY1,CO,19/02/1993 00:00,,mg m-3,R
MY1,CO,20/02/1993 00:00,,mg m-3,R
MY1,CO,21/02/1993 00:00,,mg m-3,R
MY1,CO,22/02/1993 00:00,,mg m-3,R
MY1,CO,23/02/1993 00:00,,mg m-3,R
MY1,CO,24/02/1993 00:00,,mg m-3,R
MY1,CO,25/02/1993 00:00,,mg m-3,R
MY1,CO,26/02/1993 00:00,,mg m-3,R
MY1,CO,27/02/1993 00:00,,mg m-3,R
MY1,CO,28/02/1993 00:00,,mg m-3,R
MY1,CO,01/03/1993 00:00,,mg m-3,R
MY1,CO,02/03/1993 00:00,,mg m-3,R
MY1,CO,03/03/1993 00:00,,mg m-3,R
MY1,CO,04/03/1993 00:00,,mg m-3,R
MY1,CO,05/03/1993 00:00,,mg m-3,R
MY1,CO,06/03/1993 00:00,,mg m-3,R
MY1,CO,07/03/1993 00:00,,mg m-3,R
MY1,CO,08/03/1993 00:00,,mg m-3,R
MY1,CO,09/03/1993 00:00,,mg m-3,R
MY1,CO,10/03/1993 00:00,,mg m-3,R
MY1,CO,11/03/1993 00:00,,mg m-3,R
MY1,CO,12/03/1993 00:00,,mg m-3,R
MY1,CO,13/03/1993 00:00,,mg m-3,R
MY1,CO,14/03/1993 00:00,,mg m-3,R
MY1,CO,15/03/1993 00:00,,mg m-3,R
MY1,CO,16/03/1993 00:00,,mg m-3,R
MY1,CO,17/03/1993 00:00,,mg m-3,R
MY1,CO,18/03/1993 00:00,,mg m-3,R
MY1,CO,19/03/1993 00:00,,mg m-3,R
MY1,CO,20/03/1993 00:00,,mg m-3,R
MY1,CO,21/03/1993 00:00,,mg m-3,R
MY1,CO,22/03/1993 00:00,,mg m-3,R
MY1,CO,23/03/1993 00:00,,mg m-3,R
MY1,CO,24/03/1993 00:00,,mg m-3,R
