abbreviation,station
,
BG1,Barking and Dagenham - Rush Green
BG2,Barking and Dagenham - Scrattons Farm
BX2,Bexley - Belvedere
BQ7,Bexley - Belvedere West
BX1,Bexley - Slade Green
BQ9,Bexley - Slade Green FIDAS
BT8,Brent - ARK Franklin Primary Academy
BT4,Brent - Ikea
BT6,Brent - John Keble Primary School
BT5,Brent - Neasden Lane
BY7,Bromley - Harwood Avenue
BL0,Camden - Bloomsbury
IM1,Camden - Holborn (Bee Midtown)
CD1,Camden - Swiss Cottage
CT4,City of London - Beech Street
CT2,City of London - Farringdon Street
CT9,City of London - Guildhall
CT3,City of London - The Aldgate School
CTA,City of London - Upper Thames Street
CR5,Croydon - Norbury
CR8,Croydon - Norbury Manor
CR9,Croydon - Park Lane
CR7,Croydon - Purley Way A23
ZR4,Dartford - St Clements 2
ZR2,Dartford Roadside 2 - Town Centre
EI3,Ealing - Acton Vale
EA6,Ealing - Hanger Lane Gyratory
EA8,Ealing - Horn Lane
EI8,Ealing - Horn Lane TEOM
EI1,Ealing - Western Avenue
EN5,Enfield - Bowes Primary School
EN1,Enfield - Bush Hill Park
EN4,Enfield - Derby Road
EN7,Enfield - Prince of Wales School
GN0,Greenwich - A206 Burrage Grove
GR7,Greenwich - Blackheath
GR4,Greenwich - Eltham
GB6,Greenwich - Falconwood
GB0,Greenwich - Falconwood FDMS
GN4,Greenwich - Fiveways Sidcup Rd A20
GN6,Greenwich - John Harrison Way
GN3,Greenwich - Plumstead High Street
GN5,Greenwich - Trafalgar Road (Hoskins St)
TL4,Greenwich - Tunnel Avenue
GR9,Greenwich - Westhorne Avenue
GR8,Greenwich - Woolwich Flyover
HK6,Hackney - Old Street
HG4,Haringey - Priory Park South
HG1,Haringey - Haringey Town Hall
HR2,Harrow - Pinner Road
HR1,Harrow - Stanmore
HV1,Havering - Rainham
HV3,Havering - Romford
LH0,Hillingdon - Harlington
HI0,Hillingdon - Keats Way
IS6,Islington - Arsenal
IS2,Islington - Holloway Road
KC1,Kensington and Chelsea - North Ken
KF1,Kensington and Chelsea - North Ken FIDAS
KT5,Kingston Upon Thames - Cromwell Road
KT6,Kingston Upon Thames - Kingston Vale
KT4,Kingston Upon Thames - Tolworth Broadway
LB5,Lambeth - Bondway Interchange
LB4,Lambeth - Brixton Road
LB6,Lambeth - Streatham Green
LW5,Lewisham - Deptford
HP1,Lewisham - Honor Oak Park
LW4,Lewisham - Loampit Vale
LW2,Lewisham - New Cross
LW6,Lewisham -Laurence House Catford
TD5,London Teddington Bushy Park
MR8,Marylebone Road - BAM
ME5,Merton - Esampler1
ME6,Merton - Esampler1
ME2,Merton - Merton Road
ME9,Merton - Morden Civic Centre 2
TL6,Newham - Britannia Gate
NM2,Newham - Cam Road
NM4,Newham - East Ham Town Hall
TL5,Newham - Hoola Tower
NM3,Newham - Wren Close
RD0,Reading - New Town
RB4,Redbridge - Gardner Close
RB7,Redbridge - Ley Street
CE1,Regent Street facade (The Crown Estate)
RG7,Reigate and Banstead - A23 Hooley
RG1,Reigate and Banstead - Horley
RG9,Reigate and Banstead - Horley FIDAS
RG6,Reigate and Banstead - Horley South East
RG3,Reigate and Banstead - Poles Lane
RI2,Richmond Upon Thames - Barnes Wetlands
RI1,Richmond Upon Thames - Castelnau
ZV2,Sevenoaks - Bat and Ball
ZV1,Sevenoaks - Greatness Park
SK5,Southwark - A2 Old Kent Road
SK9,Southwark - A2 Old Kent Road FIDAS
SK6,Southwark - Elephant and Castle
SKA,Southwark - Lower Road
SKC,Southwark - South Circular Road
SK8,Southwark - Tower Bridge Road
SKB,Southwark - Vicarage Grove
ST5,Sutton - Beddington Lane north
ST9,Sutton - Beddington Village
ST4,Sutton - Wallington
ST6,Sutton - Worcester Park
TK9,Thurrock - Dock Road Tilbury
TK1,Thurrock - London Road (Grays)
TK8,Thurrock - London Road (Purfleet)
TK3,Thurrock - Stanford-le-Hope
TH4,Tower Hamlets - Blackwall
CW3,Tower Hamlets - Jubilee Park
TH2,Tower Hamlets - Mile End Road
WAA,Wandsworth - Battersea
WAC,Wandsworth - Lavender Hill (Clapham Jct)
WA9,Wandsworth - Putney
WA7,Wandsworth - Putney High Street
WA8,Wandsworth - Putney High Street Facade
WAB,Wandsworth - Tooting High Street
WA2,Wandsworth - Wandsworth Town Hall
CE2,Waterloo Place (The Crown Estate)
WMC,Westminster - Cavendish Square
WM5,Westminster - Covent Garden
GV2,Westminster - Duke Street (Grosvenor)
GV1,Westminster - Ebury Street (Grosvenor)
WMD,Westminster - Elizabeth Bridge
WM0,Westminster - Horseferry Road
MY1,Westminster - Marylebone Road
WM6,Westminster - Oxford Street
WMB,Westminster - Oxford Street East
NB1,Westminster - Strand (Northbank BID)
MW4,Windsor and Maidenhead - Aldebury Road
MW2,Windsor and Maidenhead - Clarence Road
MW1,Windsor and Maidenhead - Frascati Way
